name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
saucybean,https://www.climateneutral.org/brand/saucybean,2.0,0.0,107.0,1040.95,109.0
SAYLOR NYC INC,https://www.climateneutral.org/brand/saylor-nyc,0.0,2.0,2319.0,23337.5,2322.0
Scout Books,https://www.climateneutral.org/brand/scout-books,3.0,26.0,66.0,725.0,100.0
Seadon,https://www.climateneutral.org/brand/seadon,0.0,0.0,70.0,507.5,70.0
Season Eqpt,https://www.climateneutral.org/brand/season-eqpt,8.0,3.0,158.0,1685.0,169.0
Seed Phytonutrients,https://www.climateneutral.org/brand/seed-phytonutrients,0.0,2.0,273.0,2517.0,274.0
Sendle,https://www.climateneutral.org/brand/sendle,43.0,9.0,1049.0,190600.0,7000.0
Sensiba,https://www.climateneutral.org/brand/sensiba,65.0,153.0,1041.0,19158.0,1259.0
Sevilla Smith,https://www.climateneutral.org/brand/sevilla-smith,0.0,2.0,50.0,754.0,52.0
ShÄr,https://www.climateneutral.org/brand/shar,4.0,12.0,114.0,2170.2,131.0
Simple & Dainty,https://www.climateneutral.org/brand/simple-and-dainty,0.0,132.0,136.0,2680.0,268.0
Simpleswitch.org,https://www.climateneutral.org/brand/simpleswitch-org,0.0,5.0,5.0,128.25,9.0
Ski Butlers,https://www.climateneutral.org/brand/ski-butlers,296.0,34.0,433.0,9156.0,763.0
Ski Utah,https://www.climateneutral.org/brand/ski-utah,2.0,38.0,76.0,4408.0,116.0
SmugMug,https://www.climateneutral.org/brand/smugmug,15.0,246.0,2234.0,48976.85,2495.0
Snaplinc Consulting,https://www.climateneutral.org/brand/snaplinc-consulting,0.0,6.0,12.0,261.0,18.0
Soar Organics,https://www.climateneutral.org/brand/soar-organics,0.0,0.0,40.0,400.0,40.0
Soleil Soleil,https://www.climateneutral.org/brand/soleil-soleil,1.0,0.0,52.0,567.0,53.0
Someone Somewhere,https://www.climateneutral.org/brand/someone-somewhere,1.0,1.0,1365.0,12986.5,1367.0
